IoT,Fecha,Hora,Temperatura,Humedad,Presion_Atmosferica,Intensidad_Luz,Viento,UV
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:10:19,28,52,1022,1043,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:16:02,28,52,1004,1019,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:21:45,28,53,1018,1222,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:27:28,28,53,1006,1177,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:33:11,29,53,1007,1228,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:38:54,28,53,1008,1027,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:44:37,28,53,1003,1006,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:50:20,28,54,1028,1205,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:56:02,28,54,1026,1003,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:01:46,27,55,1004,1134,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:07:29,27,55,1009,1041,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:13:11,27,55,1024,1004,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:18:54,27,55,1025,1129,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:24:37,27,55,1009,1074,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:30:20,28,54,1030,1101,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:36:03,28,54,1003,1185,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:41:46,28,53,1023,1178,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:47:29,28,53,1028,1093,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:53:12,28,53,1010,1239,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,17:58:54,28,53,1030,1262,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:04:37,28,53,1000,1191,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:10:20,28,53,1023,1247,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:16:03,28,53,1030,1033,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:21:46,27,54,1029,1021,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:27:29,27,54,1023,1028,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:33:12,27,54,1019,1005,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:38:55,27,54,1030,1193,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:44:38,27,54,1014,1106,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:50:22,27,54,1019,1003,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,18:56:05,28,53,1013,1296,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:01:48,28,53,1004,1101,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:07:31,28,53,1002,1259,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:13:14,28,53,1005,1163,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:18:57,28,53,1012,1139,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:24:40,27,54,1027,1261,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:30:22,27,54,1027,1099,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:36:05,28,53,1011,1095,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:41:48,27,54,1007,1210,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:47:31,28,53,1030,1223,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:53:14,28,53,1002,1085,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,19:58:57,28,53,1007,1283,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:04:40,28,53,1004,1274,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:10:23,27,54,1029,1207,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:16:06,27,54,1015,1073,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:21:49,27,54,1020,1224,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:27:31,27,54,1030,1256,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:33:14,27,54,1022,1269,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:38:57,27,54,1017,1047,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:44:39,28,53,1002,1102,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:50:22,28,53,1012,1278,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,20:56:05,28,53,1018,1039,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:01:48,28,53,1009,1007,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:07:33,28,53,1006,1151,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:13:16,27,54,1007,1289,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:19:03,27,54,1030,1126,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:24:46,27,54,1001,1131,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:30:30,27,54,1003,1129,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:36:14,27,55,1028,1065,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:41:57,27,55,1028,1162,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:47:40,27,55,1013,1209,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:53:23,27,55,1007,1088,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,21:59:06,27,55,1030,1243,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:04:49,27,55,1001,1225,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:10:32,27,55,1022,1267,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:16:15,27,55,1000,1263,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:21:58,27,55,1003,1118,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:27:41,27,55,1024,1279,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:33:24,27,55,1020,1088,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:39:07,27,55,1028,1014,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:44:50,27,55,1014,1111,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:50:33,27,55,1020,1013,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,22:56:16,27,55,1014,1118,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:02:00,27,55,1005,1046,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:07:43,27,55,1002,1172,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:13:26,27,55,1017,1249,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:19:11,27,55,1010,1289,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:24:55,26,55,1026,1237,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:30:39,27,55,1025,1198,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:36:22,27,55,1022,1066,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:42:05,25,56,1016,1161,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:47:50,25,57,1021,1248,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:53:33,27,55,1005,1229,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,23:59:17,27,55,1005,1095,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:05:00,26,55,1016,1116,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:10:43,26,56,1020,1293,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:16:25,26,56,1010,1208,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:22:08,26,55,1004,1233,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:27:52,26,55,1002,1196,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:33:35,26,55,1027,1289,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:39:18,26,55,1008,1054,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:45:01,27,55,1013,1128,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:50:43,26,55,1021,1075,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,00:56:27,26,55,1017,1103,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:02:12,26,55,1000,1215,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:07:55,26,54,1014,1129,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:13:38,26,54,1019,1292,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:19:22,26,54,1005,1119,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:25:05,26,54,1001,1045,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:30:47,26,54,1015,1285,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:36:31,26,54,1008,1266,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:42:13,26,54,1004,1146,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:47:56,26,54,1022,1249,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:53:38,26,54,1028,1205,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,01:59:21,26,54,1003,1048,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:05:04,26,54,1007,1133,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:10:46,26,54,1024,1159,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:16:29,26,54,1017,1265,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:22:12,26,54,1020,1012,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:27:54,26,54,1020,1012,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:33:37,26,54,1028,1154,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:39:20,26,55,1009,1068,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:45:03,26,55,1029,1264,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:50:45,26,55,1010,1114,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,02:56:28,26,55,1006,1119,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:02:11,26,55,1029,1123,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:07:53,26,55,1024,1207,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:13:36,26,55,1005,1237,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:19:19,26,55,1021,1012,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:25:01,26,55,1014,1256,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:30:44,26,55,1030,1248,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:36:27,26,55,1013,1137,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:42:10,25,55,1005,1001,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:47:52,26,55,1010,1218,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:53:35,26,55,1019,1281,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,03:59:18,26,55,1020,1262,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:05:00,26,55,1007,1165,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:10:43,26,55,1015,1069,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:16:26,26,55,1028,1126,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:22:09,26,55,1021,1150,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:27:51,25,55,1012,1043,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:33:34,25,55,1000,1006,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:39:17,26,55,1001,1114,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:45:00,25,55,1025,1090,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:50:42,26,55,1030,1052,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,04:56:25,26,55,1022,1299,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:02:08,26,55,1028,1226,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:07:50,26,55,1012,1005,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:13:33,26,56,1025,1264,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:19:16,26,56,1008,1145,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:24:59,26,56,1021,1280,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:30:42,26,56,1011,1192,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:36:25,26,56,1029,1259,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:42:07,26,56,1017,1144,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:47:50,26,56,1004,1149,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:53:33,26,56,1016,1043,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,05:59:15,26,56,1020,1110,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:04:58,26,56,1016,1080,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:10:41,26,56,1026,1164,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:16:23,26,56,1003,1265,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:22:06,26,56,1012,1195,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:27:48,26,56,1007,1084,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:33:31,26,56,1016,1092,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:39:14,26,56,1001,1004,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:44:57,26,56,1002,1053,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:50:39,26,57,1009,1172,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,06:56:22,26,57,1013,1232,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:02:05,26,57,1025,1191,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:07:47,26,57,1029,1243,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:13:30,26,57,1027,1031,13,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:19:13,26,57,1001,1069,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:24:55,26,57,1007,1101,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:30:38,26,57,1028,1022,11,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:36:20,26,57,1020,1134,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:42:03,26,57,1027,1050,10,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:47:46,26,57,1010,1150,12,0
Estacion_2_Villa_Nueva_Zona_12,10/29/2023,07:53:29,26,57,1025,1050,13,0
